:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식회사 람다홀딩스가 주식회사 뮤테크놀로지에 대한 매수인 역할을 한다.,주식회사 람다홀딩스,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],17,Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지에 대한 매수인 역할을 한다.,주식회사 뮤테크놀로지,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],18,Relation
제1장의 총칙이 시작된다.,제1장,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],19,Relation
제1장의 총칙이 시작된다.,총칙,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],20,Relation
매도인,"대상회사 발행 보통주식 12,000,000주",보유하다,"['own', 'possess', 'have', 'hold', 'retain']",[],21,Relation
매도인,매매주식,매도하다,"['sell', 'transfer ownership', 'dispose of', 'trade', 'relinquish']",[],22,Relation
매수인,매매주식,매수하다,"['secure', 'invest in', 'purchase', 'obtain', 'acquire']",[],23,Relation
본 계약,매도 및 매수,제반 사항을 규정하다,"['define conditions', 'establish guidelines', 'specify requirements', 'set rules', 'outline provisions']",[],24,Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],25,Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],26,Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],27,Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],28,Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],29,Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.","보통주식 12,000,000주",is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],30,Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",매수인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],31,Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",매도인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],32,Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",대상회사,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],33,Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.","보통주식 12,000,000주",is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],34,Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,본 계약,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],35,Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매도인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],36,Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매수인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],37,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,"['denote', 'indicate', 'represent', 'express', 'stand for', 'signify']",[],38,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,"['denote', 'indicate', 'represent', 'express', 'stand for', 'signify']",[],39,Relation
서면,문서,포함한다,"['contain', 'consist of', 'encompass', 'comprise', 'incorporate']",[],40,Relation
서면,이메일,포함한다,"['contain', 'consist of', 'encompass', 'comprise', 'incorporate']",[],41,Relation
서면,기타 서면 형태,포함한다,"['contain', 'consist of', 'encompass', 'comprise', 'incorporate']",[],42,Relation
주식 양도가 완료된다,거래종결일이 된다,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],43,Relation
대한민국의 은행이 정상 영업한다,영업일이다,동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],44,Relation
"문서, 이메일, 기타 서면 형태로 작성된다",서면이 된다,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],45,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,거래종결일,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],46,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,제51조,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],47,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,주식,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],48,Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,영업일,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],49,Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,대한민국,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],50,Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,은행,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],51,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함한다.",서면,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],52,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함한다.",문서,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],53,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함한다.",이메일,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],54,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함한다.",기타 서면 형태,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],55,Relation
양 당사자,본 계약,체결한다,"['make agreement', 'formalize deal', 'sign pact', 'conclude arrangement', 'establish contract']",[],56,Relation
양 당사자,본 계약,이행한다,"['carry out', 'perform', 'fulfill', 'execute', 'accomplish']",[],57,Relation
양 당사자,상호 선의와 신뢰,협력한다,"['join forces', 'collaborate', 'work together', 'partner', 'cooperate']",[],58,Relation
양 당사자는 본 계약을 체결한다.,양 당사자는 본 계약을 이행한다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],59,Relation
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,양 당사자는 성실히 협력한다.,때문에,"['cause', 'result of', 'basis for', 'reason', 'due to']",[],60,Relation
양 당사자가 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,양 당사자,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],61,Relation
양 당사자가 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,본 계약,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],62,Relation
양 당사자가 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,양 당사자,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],63,Relation
양 당사자가 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,본 계약,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],64,Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함한다,"['contain', 'consist of', 'encompass', 'comprise', 'incorporate']",[],65,Relation
당사자 간에 매매주식의 매매와 관련한 모든 합의가 이루어진다.,본 계약이 완성된다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],66,Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],67,Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매주식,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],68,Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,당사자,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],69,Relation
매매주식,"일천이백억원(₩120,000,000,000)",총 매매가격은,"['cost', 'value', 'amount', 'sum', 'price']",[],70,Relation
주당 매매가격,"일만원(₩10,000)",금액은,"['cost', 'monetary value', 'amount', 'sum', 'price']",[],71,Relation
"매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다.","주당 매매가격은 금 일만원(₩10,000)으로 한다.",동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],72,Relation
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.",매매주식,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],73,Relation
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.",매매주식,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],74,Relation
모든 거래 과정,투명하고 공정하게,진행된다,"['be conducted', 'take place', 'happen', 'occur', 'unfold']",[],75,Relation
모든 거래 과정은 투명하게 진행된다.,모든 거래 과정은 공정하게 진행된다.,동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],76,Relation
모든 거래 과정은 투명하게 진행된다.,거래 과정,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],77,Relation
모든 거래 과정은 공정하게 진행된다.,거래 과정,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],78,Relation
각 당사자,상대방,중요한 사항 발생 시 통지한다,"['notify', 'report', 'communicate', 'alert', 'inform']",[],79,Relation
통지 불이행,관련 권리 행사 불가,초래한다,"['generate', 'cause', 'lead to', 'bring about', 'result in']",[],80,Relation
통지의 구체적 방법,관련 조항,따른다,"['comply', 'adhere', 'obey', 'conform', 'follow']",[],81,Relation
각 당사자에게 중요한 사항이 발생한다.,상대방에게 적시 통지해야 한다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],82,Relation
상대방에게 적시 통지하지 않는다.,관련 권리를 행사할 수 없다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],83,Relation
통지 방법에 대해 궁금하다.,관련 조항을 따른다.,때문에,"['cause', 'result of', 'basis for', 'reason', 'due to']",[],84,Relation
각 당사자는 중요한 사항 발생 시 상대방에게 적시에 통지해야 한다.,각 당사자,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],85,Relation
각 당사자는 중요한 사항 발생 시 상대방에게 적시에 통지해야 한다.,상대방,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],86,Relation
통지를 이행하지 않을 경우 관련 권리를 행사할 수 없다.,통지를 불이행한 당사자,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],87,Relation
통지의 구체적인 방법은 관련 조항에 따른다.,관련 조항,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],88,Relation
각 당사자,비밀정보,보호한다,"['지킨다', '안전하게 한다', '방어한다', '지지한다', '유지한다']",[],89,Relation
비밀정보,본 계약과 관련하여,취득된다,"['secure', 'obtain', 'acquire', 'gain', 'receive']",[],90,Relation
비밀정보 보호의무,법령상 요구 또는 상대방 동의 시,제외된다,"['eliminate', 'omit', 'exclude', 'leave out', 'remove']",[],91,Relation
각 당사자는 본 계약과 관련하여 취득한 비밀정보를 보호한다.,법령상 요구 또는 상대방 동의 시 예외로 한다.,이전에,"['earlier than', 'preceding', 'before', 'prior to']",[],92,Relation
법령상 요구 또는 상대방 동의가 있다.,비밀정보 보호 의무에서 예외가 발생한다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],93,Relation
각 당사자가 본 계약과 관련하여 취득한 비밀정보를 보호한다.,각 당사자,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],94,Relation
각 당사자가 본 계약과 관련하여 취득한 비밀정보를 보호한다.,비밀정보,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],95,Relation
각 당사자가 본 계약과 관련하여 취득한 비밀정보를 보호한다.,본 계약,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],96,Relation
법령상 요구 또는 상대방 동의 시 비밀정보 보호 의무에 예외가 발생한다.,법령,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],97,Relation
법령상 요구 또는 상대방 동의 시 비밀정보 보호 의무에 예외가 발생한다.,상대방,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],98,Relation
법령상 요구 또는 상대방 동의 시 비밀정보 보호 의무에 예외가 발생한다.,비밀정보,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],99,Relation
매수인,매매대금,지급한다,"['give', 'provide', 'distribute', 'allocate', 'offer']",[],100,Relation
매매대금,거래종결일,전액 현금으로 지급된다,"['monetary settlement', 'full payment', 'cash transaction']",[],101,Relation
매매대금,매도인 지정 계좌,송금된다,"['send funds', 'remit', 'wire', 'transfer', 'move money']",[],102,Relation
거래종결일이 도래한다.,매매대금이 지급되지 않는다.,이전에,"['earlier than', 'preceding', 'before', 'prior to']",[],103,Relation
매매대금은 거래종결일에 전액 현금으로 지급된다.,지급은 매도인 지정 계좌로 송금된다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],104,Relation
매매대금은 전액 현금으로 지급된다.,지급은 매도인 지정 계좌로 송금된다.,동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],105,Relation
매매대금은 거래종결일에 전액 현금으로 지급된다.,매매대금,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],106,Relation
매매대금은 거래종결일에 전액 현금으로 지급된다.,거래종결일,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],107,Relation
지급은 매도인 지정 계좌로 송금된다.,매매대금,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],108,Relation
지급은 매도인 지정 계좌로 송금된다.,매도인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],109,Relation
지급은 매도인 지정 계좌로 송금된다.,매도인 지정 계좌,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],110,Relation
본 계약,대한민국 법률,해석된다,"['be interpreted as', 'be considered as', 'be understood as', 'be seen as', 'be regarded as']",[],111,Relation
본 계약은 대한민국 법률에 따라 해석된다.,계약의 해석은 대한민국 법률에 근거를 둔다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],112,Relation
본 계약은 해석된다.,본 계약,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],113,Relation
본 계약은 대한민국 법률에 따라 해석된다.,본 계약,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],114,Relation
본 계약은 대한민국 법률에 따라 해석된다.,대한민국 법률,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],115,Relation
매매 가격이 결정된다.,계약 당사자들이 계약서를 작성한다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],116,Relation
계약 당사자들이 계약서를 작성한다.,잔금 지급일이 정해진다.,이전,"['move', 'shift', 'transfer', 'handover', 'transition']",[],117,Relation
잔금 지급일이 도래한다.,소유권 이전 절차가 진행된다.,동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],118,Relation
매도인이 매도 대금을 수령한다.,매수인에게 소유권이 이전된다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],119,Relation
매도인,매매주식의 완전한 소유권,이전한다,"['move', 'shift', 'transfer', 'change location', 'relocate']",[],120,Relation
매매주식의 완전한 소유권,매수인,이전된다,"['전이', '전달', '변환', '이동', '전송']",[],121,Relation
이전,거래종결일,일어난다,"['생기다', '일시적 상태', '일어나다', '변화', '발생하다']",[],122,Relation
매도인은 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,매수인은 매매주식의 완전한 소유권을 갖게 된다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],123,Relation
매도인이 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,매도인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],124,Relation
매도인이 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,거래종결일,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],125,Relation
매도인이 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,매매주식,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],126,Relation
매도인이 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,매수인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],127,Relation
매수인,정밀 실사,수행할 수 있다,"['달성', '실행', '역량', '가능하다', '성취']",[],128,Relation
매수인은 거래 전 언제든지 정밀 실사를 수행할 수 있다.,거래가 이루어진다.,이전,"['move', 'shift', 'transfer', 'handover', 'transition']",[],129,Relation
거래가 이루어진다.,매수인은 거래 후 언제든지 정밀 실사를 수행할 수 있다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],130,Relation
매수인은 거래 전 언제든지 정밀 실사를 수행할 수 있다.,매수인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],131,Relation
매수인은 거래 후 언제든지 정밀 실사를 수행할 수 있다.,매수인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],132,Relation
운전자본 등의 변동,별도 합의,따른다,"['comply', 'adhere', 'obey', 'conform', 'follow']",[],133,Relation
운전자본 등의 변동이 발생한다.,대금조정이 별도 합의에 따른다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],134,Relation
운전자본 등의 변동이 발생한다.,대금조정이 별도 합의에 따른다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],135,Relation
운전자본 등의 변동에 따른 대금조정은 별도 합의에 따른다.,운전자본,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],136,Relation
운전자본 등의 변동에 따른 대금조정은 별도 합의에 따른다.,대금조정,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],137,Relation
운전자본 등의 변동에 따른 대금조정은 별도 합의에 따른다.,별도 합의,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],138,Relation
매매주식,어떠한 제한도 없는 상태,양도된다,"['transfer', 'assign', 'pass on', 'hand over', 'convey']",[],139,Relation
매매주식은 어떠한 제한도 없는 상태로 양도된다.,매매주식의 양도에 제한이 없다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],140,Relation
매매주식이 제한 없이 양도된다.,매매주식,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],141,Relation
본 거래,단순 주식 양도 방식,진행된다,"['be conducted', 'take place', 'happen', 'occur', 'unfold']",[],142,Relation
본 거래는 단순 주식 양도 방식으로 진행된다.,거래 구조가 결정된다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],143,Relation
본 거래가 단순 주식 양도 방식으로 진행된다.,본 거래,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],144,Relation
본 거래가 단순 주식 양도 방식으로 진행된다.,단순 주식 양도 방식,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],145,Relation
매도인,거래종결일로부터 3년간,경쟁 사업을 영위하지 않는다,"['non-competition', 'business separation', 'restriction', 'exclusivity', 'prohibition']",[],146,Relation
거래종결일이 발생한다.,매도인은 3년간 경쟁 사업을 영위하지 않는다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],147,Relation
거래종결일이 발생한다.,매도인은 3년간 경쟁 사업을 영위하지 않는다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],148,Relation
매도인은 거래종결일로부터 3년간 경쟁 사업을 영위하지 않는다.,매도인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],149,Relation
매도인은 거래종결일로부터 3년간 경쟁 사업을 영위하지 않는다.,경쟁 사업,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],150,Relation
매도인은 거래종결일로부터 3년간 경쟁 사업을 영위하지 않는다.,거래종결일,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],151,Relation
핵심 임직원,노력한다,근무를 유지하도록,"['retain position', 'maintain work', 'continue employment', 'sustain job']",[],152,Relation
핵심 임직원의 근무 유지를 위해 노력한다.,핵심 임직원이 계속 근무한다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],153,Relation
핵심 임직원의 근무 유지를 위해 노력한다.,핵심 임직원,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],154,Relation
통지 시스템,효율적인 통지 시스템,구축하다,"['set up', 'form', 'establish', 'develop', 'build', 'create']",[],155,Relation
효율적인 통지 시스템,신속한 의사소통,보장하다,"['확실히 하다', '지키다', '책임지다', '보호하다', '담보하다']",[],156,Relation
효율적인 통지 시스템을 구축한다.,신속한 의사소통을 보장한다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],157,Relation
효율적인 통지 시스템을 구축한다.,통지 시스템,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],158,Relation
신속한 의사소통을 보장한다.,통지 시스템,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],159,Relation
적시,3영업일 이내,의미한다,"['denote', 'indicate', 'represent', 'express', 'stand for', 'signify']",[],160,Relation
적시의 정의,일반조항,적용된다,"['해당', '관여', '적용성', '반영', '영향']",[],161,Relation
특별한 사정,기간을 연장할 수 있다,있으면,"['availability', 'existence', 'presence', 'being', 'possession']",[],162,Relation
"""적시""란 별도 정의가 없는 한 3영업일 이내를 의미한다.","""적시""란 용어가 사용될 때 별도 정의가 없으면 3영업일 이내라는 의미가 적용된다.",동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],163,Relation
"이 정의는 ""일반조항""에만 적용된다.","""적시""의 정의가 다른 조항에는 적용되지 않는다.",결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],164,Relation
특별한 사정이 있는 경우,기간을 연장할 수 있다.,때문에,"['cause', 'result of', 'basis for', 'reason', 'due to']",[],165,Relation
"""적시""는 별도 정의가 없는 한 3영업일 이내를 의미한다.",적시,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],166,Relation
"""적시""의 정의는 ""일반조항""에만 적용된다.",적시,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],167,Relation
"""적시""의 정의는 ""일반조항""에만 적용된다.",일반조항,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],168,Relation
특별한 사정이 있는 경우 기간을 연장할 수 있다.,특별한 사정,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],169,Relation
라이선스가 발급된다.,라이선스가 유효하게 유지된다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],170,Relation
모든 라이선스가 유효하게 유지된다.,모든 라이선스,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],171,Relation
보험,적절한 보험,유지되고 있다,"['last', 'persist', 'remain', 'continue', 'endure']",[],172,Relation
